"Наименование и группы","январь","февраль","март","апрель","май","июнь","июль","август","сентябрь","октябрь","ноябрь","декабрь","Общее","Тип программы"
"Машинист эл.поезда М-227","","4","64","","","","","","","","","","68","Основные программы профессионального обучения по ученическим договорам"
"Машинист эл.поезда М-228","312","392","304","","","4","64","","","","","","312","Основные программы профессионального обучения по ученическим договорам"
"Машинист эл.поезда М-229","","","","","8","344","448","434","110","","","68","0","Основные программы профессионального обучения по ученическим договорам"
"Машинист эл.поезда М-230","","","","","","","","","48","256","288","368","0","Основные программы профессионального обучения по ученическим договорам"
"Машинист эл.поезда М-231","","","","","","","","","","","","40","0","Основные программы профессионального обучения по ученическим договорам"
"Машинист мотовоза ММ-25","","","","","","24","176","48","40","","","","0","Основные программы профессионального обучения по ученическим договорам"
"Машинист эскалатора МЭ-85","","","","","","","","96","176","168","124","58","0","Основные программы профессионального обучения по ученическим договорам"
"Машинист электровоза (подг.) МЭВП-1","","","","40","120","80","20","20","","","","","0","Основные программы профессионального обучения по ученическим договорам"
"Кассир билетный 2 разряд О-245","","","80","12","","","","","","","","","0","Основные программы профессионального обучения по ученическим договорам"
"Кассир билетный 2 разряд О-246","","","","","","","","","32","60","","","0","Основные программы профессионального обучения по ученическим договорам"
"Кассир билетный 2 разряд О-247","","","","","","","","","","","56","36","0","Основные программы профессионального обучения по ученическим договорам"
"Контролер КСД-19","","","80","12","","","","","","","","","0","Основные программы профессионального обучения по ученическим договорам"
"Контролер КСД-20","","","","","","","40","52","","","","","0","Основные программы профессионального обучения по ученическим договорам"
"Контролер КСД-21","","","","","","","","","","80","12","","0","Основные программы профессионального обучения по ученическим договорам"
"Дежурный у эскалатора ДЭ-2","","","98","24","","","","","","","","","0","Основные программы профессионального обучения по ученическим договорам"
"Дежурный у эскалатора ДЭ-3","","","","36","62","24","","","","","","","0","Основные программы профессионального обучения по ученическим договорам"
"Дежурный у эскалатора ДЭ-4","","","","","","","","90","32","","","","0","Основные программы профессионального обучения по ученическим договорам"
"Дежурный у эскалатора ДЭ-5","","","","","","","","","","98","24","","0","Основные программы профессионального обучения по ученическим договорам"
"Дежурный у эскалатора ДЭ-6","","","","","","","","","","","56","66","0","Основные программы профессионального обучения по ученическим договорам"
"Дежурный ДПОП-17","","24","104","","","","","","","","","","0","Основные программы профессионального обучения по ученическим договорам"
"Дежурный ДПОП-18","","","","","","64","64","","","","","","0","Основные программы профессионального обучения по ученическим договорам"
"Дежурный ДПОП-19","","","","","","","","120","8","","","","0","Основные программы профессионального обучения по ученическим договорам"
"Дежурный ДПОП-20","","","","","","","","","72","56","","","0","Основные программы профессионального обучения по ученическим договорам"
