id,date,if_working,in_hours
1,2022-01-01,Пр,0
2,2022-01-02,Пр,0
3,2022-01-03,Пр,0
4,2022-01-04,Пр,0
5,2022-01-05,Пр,0
6,2022-01-06,Пр,0
7,2022-01-07,Пр,0
8,2022-01-08,Пр,0
9,2022-01-09,Пр,0
10,2022-01-10,8,8
11,2022-01-11,8,8
12,2022-01-12,8,8
13,2022-01-13,8,8
14,2022-01-14,8,8
15,2022-01-15,Пр,0
16,2022-01-16,Пр,0
17,2022-01-17,8,8
18,2022-01-18,8,8
19,2022-01-19,8,8
20,2022-01-20,8,8
21,2022-01-21,8,8
22,2022-01-22,Пр,0
23,2022-01-23,Пр,0
24,2022-01-24,8,8
25,2022-01-25,8,8
26,2022-01-26,8,8
27,2022-01-27,8,8
28,2022-01-28,8,8
29,2022-01-29,Пр,0
30,2022-01-30,Пр,0
31,2022-01-31,8,8
32,2022-02-01,8,8
33,2022-02-02,8,8
34,2022-02-03,8,8
35,2022-02-04,8,8
36,2022-02-05,Пр,0
37,2022-02-06,Пр,0
38,2022-02-07,8,8
39,2022-02-08,8,8
40,2022-02-09,8,8
41,2022-02-10,8,8
42,2022-02-11,8,8
43,2022-02-12,Пр,0
44,2022-02-13,Пр,0
45,2022-02-14,8,8
46,2022-02-15,8,8
47,2022-02-16,8,8
48,2022-02-17,8,8
49,2022-02-18,8,8
50,2022-02-19,Пр,0
51,2022-02-20,Пр,0
52,2022-02-21,8,8
53,2022-02-22,8,8
54,2022-02-23,Пр,0
55,2022-02-24,8,8
56,2022-02-25,8,8
57,2022-02-26,Пр,0
58,2022-02-27,Пр,0
59,2022-02-28,8,8
60,2022-03-01,8,8
61,2022-03-02,8,8
62,2022-03-03,8,8
63,2022-03-04,8,8
64,2022-03-05,8,8
65,2022-03-06,Пр,0
66,2022-03-07,Пр,0
67,2022-03-08,Пр,0
68,2022-03-09,8,8
69,2022-03-10,8,8
70,2022-03-11,8,8
71,2022-03-12,Пр,0
72,2022-03-13,Пр,0
73,2022-03-14,8,8
74,2022-03-15,8,8
75,2022-03-16,8,8
76,2022-03-17,8,8
77,2022-03-18,8,8
78,2022-03-19,Пр,0
79,2022-03-20,Пр,0
80,2022-03-21,8,8
81,2022-03-22,8,8
82,2022-03-23,8,8
83,2022-03-24,8,8
84,2022-03-25,8,8
85,2022-03-26,Пр,0
86,2022-03-27,Пр,0
87,2022-03-28,8,8
88,2022-03-29,8,8
89,2022-03-30,8,8
90,2022-03-31,8,8
91,2022-04-01,8,8
92,2022-04-02,Пр,0
93,2022-04-03,Пр,0
94,2022-04-04,8,8
